id,traces,expected_output,score
1,"User: recent prs in kubernetes
MCP: I'll help you find recent pull requests in the Kubernetes project. Let me search for that information.
Running search_issues from @smithery-ai-github (local)
{
  ""q"": ""repo:kubernetes/kubernetes is:pr sort:created-desc"",
  ""sort"": ""created"",
  ""per_page"": 10
}","List of recent pull requests in the Kubernetes repository with details like PR number, title, state, and creation date.",1.0
2,"User: find react hooks examples
MCP: I'll search for React hooks code examples on GitHub for you.
Running search_code from @smithery-ai-github (local)
{
  ""q"": ""useState useEffect language:javascript language:typescript"",
  ""sort"": ""stars"",
  ""per_page"": 5
}","Code examples of React hooks from popular repositories, including file names, paths, and repository information.",1.0
3,"User: create a new repo called my-project
MCP: I'll help you create a new GitHub repository called ""my-project"".
Running create_repository from @smithery-ai-github (local)
{
  ""name"": ""my-project"",
  ""description"": """",
  ""private"": false,
  ""auto_init"": true
}","Confirmation of repository creation with details including repository name, URL, and creation timestamp.",1.0
4,"User: show open issues in tensorflow
MCP: I'll find open issues in the TensorFlow repository for you.
Running list_issues from @smithery-ai-github (local)
{
  ""owner"": ""tensorflow"",
  ""repo"": ""tensorflow"",
  ""state"": ""open"",
  ""per_page"": 5
}","List of open issues in the TensorFlow repository with details like issue number, title, state, and creation date.",1.0
5,"User: show me the readme from pytorch
MCP: I'll retrieve the README file from the PyTorch repository for you.
Running get_file_contents from @smithery-ai-github (local)
{
  ""owner"": ""pytorch"",
  ""repo"": ""pytorch"",
  ""path"": ""README.md""
}","Content of the README.md file from the PyTorch repository, including installation instructions and resources.",1.0
6,"User: create issue in my-project about login bug
MCP: I'll help you create a new issue about a login bug in your my-project repository.
Running create_issue from @smithery-ai-github (local)
{
  ""owner"": ""your-username"",
  ""repo"": ""my-project"",
  ""title"": ""Login functionality not working properly"",
  ""body"": ""Users are unable to log in using correct credentials. The system shows an error message even when the username and password are correct.""
}","Confirmation of issue creation with details including issue number, title, URL, and creation timestamp.",1.0
7,"User: find github users who work on llama
MCP: I'll search for GitHub users who are associated with ""llama"" projects.
Running search_users from @smithery-ai-github (local)
{
  ""q"": ""llama in:name in:bio in:email"",
  ""sort"": ""followers"",
  ""per_page"": 5
}","List of GitHub users associated with llama projects, including their usernames, profile URLs, and bio information.",1.0
8,"User: create pr from feature-branch to main in my-project
MCP: I'll create a pull request from your feature-branch to the main branch in your my-project repository.
Running create_pull_request from @smithery-ai-github (local)
{
  ""owner"": ""your-username"",
  ""repo"": ""my-project"",
  ""title"": ""Feature implementation"",
  ""body"": ""This PR implements the new feature as discussed in issue #1"",
  ""head"": ""feature-branch"",
  ""base"": ""main""
}","Confirmation of pull request creation with details including PR number, title, URL, and branch information.",1.0
9,"User: update README in my-project to add installation instructions
MCP: I'll help you update the README file in your my-project repository to add installation instructions.
Running get_file_contents from @smithery-ai-github (local)
{
  ""owner"": ""your-username"",
  ""repo"": ""my-project"",
  ""path"": ""README.md""
}
Running create_or_update_file from @smithery-ai-github (local)
{
  ""owner"": ""your-username"",
  ""repo"": ""my-project"",
  ""path"": ""README.md"",
  ""message"": ""Add installation instructions"",
  ""content"": ""# My Project\n\nA simple project for demonstration purposes.\n\n## Installation\n\n```bash\nnpm install\nnpm start\n```\n\n## Usage\n\nSee documentation for details."",
  ""sha"": ""abc123def456""
}","Confirmation of file update with details including file path, new SHA, and URL to the updated file.",1.0
10,"User: fork tensorflow/models to my account
MCP: I'll fork the TensorFlow models repository to your GitHub account.
Running fork_repository from @smithery-ai-github (local)
{
  ""owner"": ""tensorflow"",
  ""repo"": ""models""
}","Confirmation of repository forking with details including the new repository name, URL, and creation timestamp.",1.0
