id,traces,expected_output,score
1,"User: recent prs in kubernetes\nMCP: I'll help you find recent pull requests in the Kubernetes project. Let me search for that information.\nRunning search_issues from @smithery-ai-github (local)\n{\n  ""q"": ""repo:kubernetes/kubernetes is:pr sort:created-desc"",\n  ""sort"": ""created"",\n  ""per_page"": 10\n}","List of recent pull requests in the Kubernetes repository with details like PR number, title, state, and creation date.",1.0
2,"User: find react hooks examples\nMCP: I'll search for React hooks code examples on GitHub for you.\nRunning search_code from @smithery-ai-github (local)\n{\n  ""q"": ""useState useEffect language:javascript language:typescript"",\n  ""sort"": ""stars"",\n  ""per_page"": 5\n}","Code examples of React hooks from popular repositories, including file names, paths, and repository information.",1.0
3,"User: create a new repo called my-project\nMCP: I'll help you create a new GitHub repository called ""my-project"".\nRunning create_repository from @smithery-ai-github (local)\n{\n  ""name"": ""my-project"",\n  ""description"": """",\n  ""private"": false,\n  ""auto_init"": true\n}","Confirmation of repository creation with details including repository name, URL, and creation timestamp.",1.0
4,"User: show open issues in tensorflow\nMCP: I'll find open issues in the TensorFlow repository for you.\nRunning list_issues from @smithery-ai-github (local)\n{\n  ""owner"": ""tensorflow"",\n  ""repo"": ""tensorflow"",\n  ""state"": ""open"",\n  ""per_page"": 5\n}","List of open issues in the TensorFlow repository with details like issue number, title, state, and creation date.",1.0
5,"User: show me the readme from pytorch\nMCP: I'll retrieve the README file from the PyTorch repository for you.\nRunning get_file_contents from @smithery-ai-github (local)\n{\n  ""owner"": ""pytorch"",\n  ""repo"": ""pytorch"",\n  ""path"": ""README.md""\n}","Content of the README.md file from the PyTorch repository, including installation instructions and resources.",1.0
6,"User: create issue in my-project about login bug\nMCP: I'll help you create a new issue about a login bug in your my-project repository.\nRunning create_issue from @smithery-ai-github (local)\n{\n  ""owner"": ""your-username"",\n  ""repo"": ""my-project"",\n  ""title"": ""Login functionality not working properly"",\n  ""body"": ""Users are unable to log in using correct credentials. The system shows an error message even when the username and password are correct.""\n}","Confirmation of issue creation with details including issue number, title, URL, and creation timestamp.",1.0
7,"User: find github users who work on llama\nMCP: I'll search for GitHub users who are associated with ""llama"" projects.\nRunning search_users from @smithery-ai-github (local)\n{\n  ""q"": ""llama in:name in:bio in:email"",\n  ""sort"": ""followers"",\n  ""per_page"": 5\n}","List of GitHub users associated with llama projects, including their usernames, profile URLs, and bio information.",1.0
8,"User: create pr from feature-branch to main in my-project\nMCP: I'll create a pull request from your feature-branch to the main branch in your my-project repository.\nRunning create_pull_request from @smithery-ai-github (local)\n{\n  ""owner"": ""your-username"",\n  ""repo"": ""my-project"",\n  ""title"": ""Feature implementation"",\n  ""body"": ""This PR implements the new feature as discussed in issue #1"",\n  ""head"": ""feature-branch"",\n  ""base"": ""main""\n}","Confirmation of pull request creation with details including PR number, title, URL, and branch information.",1.0
9,"User: update README in my-project to add installation instructions\nMCP: I'll help you update the README file in your my-project repository to add installation instructions.\nRunning get_file_contents from @smithery-ai-github (local)\n{\n  ""owner"": ""your-username"",\n  ""repo"": ""my-project"",\n  ""path"": ""README.md""\n}\nRunning create_or_update_file from @smithery-ai-github (local)\n{\n  ""owner"": ""your-username"",\n  ""repo"": ""my-project"",\n  ""path"": ""README.md"",\n  ""message"": ""Add installation instructions"",\n  ""content"": ""# My Project\n\nA simple project for demonstration purposes.\n\n## Installation\n\n```bash\nnpm install\nnpm start\n```\n\n## Usage\n\nSee documentation for details."",\n  ""sha"": ""abc123def456""\n}","Confirmation of file update with details including file path, new SHA, and URL to the updated file.",1.0
10,"User: fork tensorflow/models to my account\nMCP: I'll fork the TensorFlow models repository to your GitHub account.\nRunning fork_repository from @smithery-ai-github (local)\n{\n  ""owner"": ""tensorflow"",\n  ""repo"": ""models""\n}","Confirmation of repository forking with details including the new repository name, URL, and creation timestamp.",1.0
11,"User: find memory leak issues in pytorch\nMCP: I'll search for issues related to memory leaks in the PyTorch repository.\nRunning search_issues from @smithery-ai-github (local)\n{\n  ""q"": ""repo:pytorch/pytorch memory leak in:title in:body is:issue is:open"",\n  ""sort"": ""created"",\n  ""per_page"": 5\n}","List of open issues related to memory leaks in the PyTorch repository, including issue numbers, titles, and URLs.",1.0
12,"User: create branch fix-login-bug in my-project\nMCP: I'll create a new branch called ""fix-login-bug"" in your my-project repository.\nRunning create_branch from @smithery-ai-github (local)\n{\n  ""owner"": ""your-username"",\n  ""repo"": ""my-project"",\n  ""branch"": ""fix-login-bug"",\n  ""sha"": ""main""\n}","Confirmation of branch creation with details including branch name and reference information.",1.0
13,"User: show recent commits in react\nMCP: I'll retrieve the recent commit history for the React repository.\nRunning list_commits from @smithery-ai-github (local)\n{\n  ""owner"": ""facebook"",\n  ""repo"": ""react"",\n  ""per_page"": 5\n}","List of recent commits in the React repository, including commit SHAs, messages, authors, and timestamps.",1.0
14,"User: add comment to issue #1 in my-project: ""I've reproduced the bug on Chrome and Firefox""\nMCP: I'll add your comment to issue #1 in your my-project repository.\nRunning add_issue_comment from @smithery-ai-github (local)\n{\n  ""owner"": ""your-username"",\n  ""repo"": ""my-project"",\n  ""issue_number"": 1,\n  ""body"": ""I've reproduced the bug on Chrome and Firefox""\n}","Confirmation of comment addition with details including comment ID, URL, and creation timestamp.",1.0
15,"User: update issue #1 in my-project to add label ""bug"" and assign to me\nMCP: I'll update issue #1 in your my-project repository to add the ""bug"" label and assign it to you.\nRunning update_issue from @smithery-ai-github (local)\n{\n  ""owner"": ""your-username"",\n  ""repo"": ""my-project"",\n  ""issue_number"": 1,\n  ""labels"": [""bug""],\n  ""assignees"": [""your-username""]\n}","Confirmation of issue update with details including updated labels and assignees.",1.0
16,"User: push new files to my-project: index.js and styles.css\nMCP: I'll help you push new index.js and styles.css files to your my-project repository.\nRunning push_files from @smithery-ai-github (local)\n{\n  ""owner"": ""your-username"",\n  ""repo"": ""my-project"",\n  ""branch"": ""main"",\n  ""commit_message"": ""Add index.js and styles.css"",\n  ""files"": [\n    {\n      ""path"": ""index.js"",\n      ""content"": ""console.log('Hello, world!');\n\nfunction init() {\n  // Initialize application\n}\n\ninit();""\n    },\n    {\n      ""path"": ""styles.css"",\n      ""content"": ""body {\n  font-family: Arial, sans-serif;\n  margin: 0;\n  padding: 20px;\n}\n\n.container {\n  max-width: 1200px;\n  margin: 0 auto;\n}""\n    }\n  ]\n}","Confirmation of file addition with details including commit SHA, URL, and file statuses.",1.0
17,"User: find security vulnerabilities in express\nMCP: I'll search for security vulnerability issues in the Express.js repository.\nRunning search_issues from @smithery-ai-github (local)\n{\n  ""q"": ""repo:expressjs/express security vulnerability in:title in:body is:issue"",\n  ""sort"": ""created"",\n  ""per_page"": 5\n}","List of security vulnerability issues in the Express.js repository, including issue numbers, titles, and states.",1.0
18,"User: show details of issue #98765 in pytorch\nMCP: I'll retrieve the details of issue #98765 in the PyTorch repository.\nRunning get_issue from @smithery-ai-github (local)\n{\n  ""owner"": ""pytorch"",\n  ""repo"": ""pytorch"",\n  ""issue_number"": 98765\n}","Detailed information about issue #98765 in the PyTorch repository, including title, body, labels, and comments.",1.0
19,"User: find documentation about transformers in huggingface\nMCP: I'll search for documentation about transformers in the Hugging Face repositories.\nRunning search_code from @smithery-ai-github (local)\n{\n  ""q"": ""transformers documentation repo:huggingface/transformers path:docs"",\n  ""sort"": ""indexed"",\n  ""per_page"": 5\n}","List of documentation files about transformers in the Hugging Face repositories, including file names and paths.",1.0
20,"User: find top machine learning repositories\nMCP: I'll search for the most popular machine learning repositories on GitHub.\nRunning search_repositories from @smithery-ai-github (local)\n{\n  ""q"": ""topic:machine-learning"",\n  ""sort"": ""stars"",\n  ""per_page"": 5\n}","List of popular machine learning repositories sorted by star count, including repository names, descriptions, and star counts.",1.0
21,"User: find jupyter notebooks about GANs\nMCP: I'll search for Jupyter notebooks about Generative Adversarial Networks (GANs).\nRunning search_code from @smithery-ai-github (local)\n{\n  ""q"": ""GAN generative adversarial network filename:*.ipynb language:jupyter-notebook"",\n  ""sort"": ""stars"",\n  ""per_page"": 5\n}","List of Jupyter notebooks about GANs, including file names, paths, and repository information.",1.0
22,"User: show recent issues in vscode\nMCP: I'll find recent issues in the Visual Studio Code repository.\nRunning search_issues from @smithery-ai-github (local)\n{\n  ""q"": ""repo:microsoft/vscode is:issue sort:created-desc"",\n  ""sort"": ""created"",\n  ""per_page"": 5\n}","List of recent issues in the Visual Studio Code repository, including issue numbers, titles, and creation dates.",1.0
23,"User: who are the top contributors to numpy\nMCP: I'll search for the top contributors to the NumPy repository.\nRunning search_users from @smithery-ai-github (local)\n{\n  ""q"": ""repo:numpy/numpy"",\n  ""sort"": ""contributions"",\n  ""per_page"": 5\n}","List of top contributors to the NumPy repository, sorted by contribution count, including usernames and contribution counts.",1.0
24,"User: find examples of useContext in react repositories\nMCP: I'll search for examples of React's useContext hook in GitHub repositories.\nRunning search_code from @smithery-ai-github (local)\n{\n  ""q"": ""useContext language:javascript language:typescript"",\n  ""sort"": ""stars"",\n  ""per_page"": 5\n}","List of code examples using React's useContext hook, including file names, paths, and repository information.",1.0
25,"User: find beginner-friendly open source projects\nMCP: I'll search for beginner-friendly open source projects that are looking for contributors.\nRunning search_repositories from @smithery-ai-github (local)\n{\n  ""q"": ""good-first-issue help-wanted is:open"",\n  ""sort"": ""updated"",\n  ""per_page"": 5\n}","List of beginner-friendly open source projects with good-first-issues, including repository names, descriptions, and star counts.",1.0
